Country,ISO3
Brazil,BRA
United States Minor Outlying Islands,UMI
Myanmar,MMR
Côte d’Ivoire,CIV
Thailand,THA
Japan,JPN
Ecuador,ECU
Malawi,MWI
Mauritius,MUS
Panama,PAN
Viet Nam,VNM
Peru,PER
Zambia,ZMB
India,IND
Lao People's Democratic Republic,LAO
Taiwan,TWN
Nicaragua,NIC
China,CHN
Burundi,BDI
Costa Rica,CRI
United States of America,USA
Indonesia,IDN
Uganda,UGA
Mexico,MEX
Guatemala,GTM
Colombia,COL
Haiti,HTI
Honduras,HND
Ethiopia,ETH
Kenya,KEN
United Republic of Tanzania,TZA
Papua New Guinea,PNG
Rwanda,RWA
El Salvador,SLV
Puerto Rico,PRI
Philippines,PHL
